ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,flight_kilometer_share_inland,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,flight_kilometer_share_overseas,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
03252003,Bad Pyrmont,Hameln-Pyrmont,44287.79472,5.272356514,3303.14401,0.001054471,247.1419852,3.266799086,65.99991315,0,0,0,0,0,0,65.99991315
03254021,Hildesheim,Hildesheim,458493.6604,54.58257862,34196.1165,0.010916516,2558.561206,33.81985218,683.2704576,0,0,0,0,0,0,683.2704576
03256001,Balge,Nienburg-Holzbalge,43879.78321,5.223783715,3272.713035,0.001044757,244.8651328,3.236702947,65.39187374,0,0,0,0,0,0,65.39187374
03257031,Rinteln,Rinteln,41413.16817,4.930139068,3088.743959,0.000986028,231.1005247,3.054758107,61.71599919,0,0,0,0,0,0,61.71599919
03351006,Celle,Celle-Arloh,78060.02008,9.292859534,5821.998801,0.001858572,435.603273,5.75793859,116.3289926,0,0,0,0,0,0,116.3289926
03352061,Wurster Nordseeküste,Nordholz-Spieka,131361.16,15.63823333,9797.390712,0.003127647,733.0429989,9.689588746,195.7610489,0,0,0,0,0,0,195.7610489
03355022,Lüneburg,Lüneburg,69807.06001,8.310364287,5206.463171,0.001662073,389.5487573,5.149175779,104.0300139,0,0,0,0,0,0,104.0300139
03356011,Worpswede,Hüttenbusch,32121.63335,3.824003971,2395.747665,0.000764801,179.2503846,2.369386942,47.86928374,0,0,0,0,0,0,47.86928374
03357016,Gnarrenburg,Karlshöfen,55823.39284,6.645642004,4163.510665,0.001329128,311.5148139,4.117699015,83.1908453,0,0,0,0,0,0,83.1908453
03357022,Hellwege,Weser-Wümme,86924.99742,10.34821398,6483.180893,0.002069643,485.0730674,6.41184561,129.5400305,0,0,0,0,0,0,129.5400305
03357033,Lauenbrück,Lauenbrück,7640.942807,0.909636048,569.8891675,0.000181927,42.63923699,0.563618603,11.38691969,0,0,0,0,0,0,11.38691969
03357039,Rotenburg (Wümme),Rotenburg (Wümme),145604.4708,17.33386557,10859.70838,0.003466773,812.5258485,10.7402176,216.9871516,0,0,0,0,0,0,216.9871516
03358014,Hodenhagen,Hodenhagen,95419.0552,11.35941133,7116.698463,0.002271882,532.4729958,7.038392503,142.1983053,0,0,0,0,0,0,142.1983053
03359038,Stade,Stade ,81787.7616,9.736638285,6100.027254,0.001947328,456.405425,6.03290786,121.8842617,0,0,0,0,0,0,121.8842617
03360009,Gerdau,Uelzen,88278.85379,10.50938736,6584.156401,0.002101877,492.6280778,6.511710071,131.5576158,0,0,0,0,0,0,131.5576158
03361012,Verden (Aller),Verden-Scharnhorst,71216.55432,8.478161228,5311.588357,0.001695632,397.4142476,5.253144259,106.1305136,0,0,0,0,0,0,106.1305136
03402000,Emden,Emden,139873.7637,16.65163854,10432.29151,0.003330328,780.5464207,10.31750365,208.4469619,0,0,0,0,0,0,208.4469619
03404000,Osnabrück,Osnabrück-Atterheide,153727.609,18.30090584,11465.56143,0.003660181,857.8559111,11.33940436,229.0926633,0,0,0,0,0,0,229.0926633
03451007,Westerstede,Westerstede-Felde,52262.56512,6.221733943,3897.931247,0.001244347,291.6441015,3.855041802,77.88431962,0,0,0,0,0,0,77.88431962
03451008,Wiefelstede,Wiefelstede/Conneforde,29154.27692,3.470747253,2174.431484,0.000694149,162.6914576,2.150505931,43.44717901,0,0,0,0,0,0,43.44717901
03452002,Baltrum,Baltrum,26594.932,3.166063334,1983.546277,0.000633213,148.4093831,1.961721059,39.63311367,0,0,0,0,0,0,39.63311367
03452013,Juist,Juist,290318.7347,34.56175413,21653.02191,0.006912351,1620.084019,21.41477089,432.6476719,0,0,0,0,0,0,432.6476719
03452019,Norden,Norden-Norddeich,162258.7588,19.3165189,12101.84545,0.003863304,905.4628262,11.96868727,241.8062145,0,0,0,0,0,0,241.8062145
03452020,Norderney,Norderney,117655.6824,14.00662886,8775.186598,0.002801326,656.5614549,8.678632078,175.3364527,0,0,0,0,0,0,175.3364527
03453001,Barßel,Barßel,12203.25332,1.452768252,910.1627966,0.000290554,68.09858722,0.900148157,18.18590572,0,0,0,0,0,0,18.18590572
03453004,Cloppenburg,Cloppenburg-Varrelbusch,72996.96817,8.690115259,5444.378066,0.001738023,407.3496038,5.384472865,108.7837764,0,0,0,0,0,0,108.7837764
03454035,Meppen,Meppen (WTD91),612.0172637,0.072859198,45.64646244,1.45718E-05,3.415278691,0.045144208,0.912059101,0,0,0,0,0,0,0.912059101
03455014,Sande,Wilhelmshaven / JadeWeserAirport,214706.7837,25.56033139,16013.60896,0.005112066,1198.141861,15.83740914,319.9669156,0,0,0,0,0,0,319.9669156
03455021,Wangerooge,Wangerooge,214836.6055,25.57578637,16023.29154,0.005115157,1198.866314,15.84698518,320.1603827,0,0,0,0,0,0,320.1603827
03456015,Nordhorn,Nordhorn-Lingen,167896.736,19.98770667,12522.3462,0.003997541,936.9247874,12.38456119,250.2082134,0,0,0,0,0,0,250.2082134
03457002,Borkum,Borkum,100315.1933,11.94228492,7481.870162,0.002388457,559.7952254,7.399546171,149.4947781,0,0,0,0,0,0,149.4947781
03457013,Leer (Ostfriesland),Leer-Papenburg,178523.5812,21.25280729,13314.93477,0.004250561,996.2264447,13.16842881,266.044876,0,0,0,0,0,0,266.044876
03458005,Ganderkesee,Ganderkesee,196698.6393,23.41650468,14670.49638,0.004683301,1097.649872,14.509075,293.1302675,0,0,0,0,0,0,293.1302675
03458007,Großenkneten,Ahlhorn,797.4770405,0.094937743,59.47872379,1.89875E-05,4.450211627,0.058824272,1.188440647,0,0,0,0,0,0,1.188440647
03458009,Hatten,Oldenburg-Hatten,69157.95079,8.23308938,5158.050256,0.001646618,385.926492,5.101295558,103.0626784,0,0,0,0,0,0,103.0626784
