ags,chem_ammonia,chem_basic,chem_other,metal_nonfe,metal_steel_primary,metal_steel_secondary,miner_cement,miner_ceram,miner_chalk,miner_glas,other_food,other_further,other_paper,sum,count_chem_ammonia,count_chem_basic,count_chem_other,count_metal_nonfe,count_metal_steel_primary,count_metal_steel_secondary,count_miner_cement,count_miner_ceram,count_miner_chalk,count_miner_glas,count_other_food,count_other_further,count_other_paper,count_sum
03159007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8263.0,0.0,0.0,0.0,8263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
03159010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,0.0,981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
03159016,0.0,0.0,0.0,20984.0,0.0,0.0,0.0,12134.0,0.0,0.0,0.0,0.0,0.0,33118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
03159019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91516.0,91516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03241001,0.0,0.0,0.0,0.0,0.0,0.0,575206.0,0.0,0.0,0.0,0.0,23102.0,0.0,598308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
03241010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6374.0,0.0,6374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
03241015,0.0,21166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03241016,4513.0,0.0,0.0,0.0,0.0,0.0,654419.0,0.0,0.0,0.0,0.0,0.0,0.0,658932,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
03241021,65177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65177,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
03251023,0.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
03252002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15712.0,0.0,0.0,0.0,15712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
03252008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10388.0,0.0,0.0,0.0,0.0,10388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
03254002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111430.0,111430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3
03254026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134041.0,0.0,0.0,134041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03255004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66506.0,0.0,0.0,0.0,66506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2
03255008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9573.0,0.0,0.0,7823.0,17396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2
03255023,0.0,0.0,25043.0,0.0,0.0,0.0,0.0,0.0,0.0,44093.0,0.0,0.0,0.0,69136,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
03256014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138631.0,138631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
03256022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87867.0,0.0,0.0,0.0,87867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
03256030,0.0,86250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03257028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62546.0,0.0,0.0,0.0,62546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
03257031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47304.0,23858.0,0.0,0.0,71162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2
03351016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83292.0,83292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
03355013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60968.0,0.0,0.0,60968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03357057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65844.0,0.0,0.0,65844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03359000,0.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03359038,0.0,22791.0,0.0,398536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421327,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
03360025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160986.0,0.0,0.0,160986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03402000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20774.0,0.0,20774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
03404000,0.0,0.0,0.0,18092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248360.0,266452,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7
03405000,0.0,153194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03451002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40652.0,0.0,0.0,0.0,0.0,0.0,40652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03451004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44337.0,0.0,0.0,44337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03451008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20583.0,0.0,0.0,20583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03453004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65342.0,0.0,0.0,65342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03453006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41923.0,0.0,0.0,41923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03453011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17637.0,0.0,0.0,17637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03454008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247307.0,247307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03454018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15373.0,0.0,15373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
03454032,0.0,0.0,0.0,0.0,0.0,41784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03454035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20488.0,0.0,20488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
03455025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4475.0,0.0,0.0,0.0,0.0,0.0,4475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03455026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277893.0,277893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03455027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6868.0,0.0,0.0,0.0,0.0,0.0,6868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03456002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6708.0,0.0,0.0,6708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
03456023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7841.0,0.0,0.0,0.0,0.0,0.0,7841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03456027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8043.0,0.0,0.0,0.0,0.0,0.0,8043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
03457021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4511.0,4511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
03458007,0.0,261189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261189,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
03458010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12804.0,0.0,0.0,0.0,0.0,0.0,12804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
03458014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49600.0,0.0,0.0,49600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
