ags,land_total,land_settlement,land_traffic,veg_agri,veg_forrest,veg_wood,veg_heath,veg_moor,veg_marsh,veg_plant_uncover_com,water_total,settlement_ghd
13076100,1939,51,46,1228,572,3,0,0,1,0,38,2
13076101,2619,83,43,1764,519,5,0,0,5,10,190,3
13076102,1307,76,46,952,201,14,0,0,1,1,15,4
13076103,3420,215,110,1218,1828,5,0,0,0,7,38,30
13076104,4738,137,106,1588,2130,18,14,19,286,2,440,3
13076105,9412,464,511,4181,2972,95,0,0,0,123,1068,92
13076106,2010,62,62,1468,244,36,0,0,10,31,98,1
13076107,1101,142,74,744,122,4,0,0,0,0,15,18
13076108,12481,1088,772,5523,4349,334,0,38,49,85,244,223
13076109,2481,103,60,1925,227,52,0,12,5,3,95,5
13076110,1065,53,33,690,269,5,0,0,0,2,13,4
13076111,3909,92,125,1390,2240,22,0,0,0,7,33,6
13076112,1875,260,110,673,392,32,0,0,4,45,359,2
13076113,2213,364,99,1462,175,60,0,10,0,11,31,14
13076114,11627,517,314,4485,2945,114,0,19,166,27,3040,53
13076115,2930,107,89,1957,752,1,0,0,0,0,24,2
13076116,1955,66,72,1286,487,9,0,0,0,7,28,10
13076117,960,56,79,196,615,3,0,1,0,1,9,5
13076118,5203,220,209,2879,1741,63,0,0,0,24,66,32
13076119,1771,80,68,891,658,14,0,0,1,15,43,6
13076120,3371,130,77,2491,529,30,0,31,1,16,66,2
13076121,1142,39,22,896,166,2,0,0,0,0,18,1
13076122,2663,223,102,1385,804,85,0,0,1,18,46,12
13076125,5557,143,116,3821,1286,56,0,5,0,8,122,3
13076126,4913,170,131,3335,1178,41,0,0,0,9,50,12
13076128,6770,284,184,3342,1746,308,0,28,217,5,655,23
13076129,2060,45,70,1238,689,0,0,0,0,2,15,2
13076130,1203,104,33,919,95,22,0,0,0,18,13,14
13076131,1476,40,55,769,572,17,0,0,0,2,22,1
13076133,2136,159,63,1213,671,16,0,0,0,0,15,2
13076134,1878,124,58,1544,130,11,0,3,0,0,9,5
13076135,4172,140,82,3067,521,67,0,4,12,1,278,2
13076136,2755,111,60,2211,177,43,0,1,8,54,91,5
13076138,1025,70,38,680,218,7,0,0,0,2,11,1
13076140,4213,126,108,1976,1687,24,0,2,34,12,243,1
13076141,1509,51,45,722,666,16,0,0,0,2,5,6
13076142,10670,415,284,6780,2965,66,0,0,10,47,102,12
13076143,7757,227,196,3473,3639,101,0,0,0,32,89,5
13076145,2391,72,88,1557,626,10,0,0,0,6,32,3
13076146,1391,59,42,896,361,4,0,0,0,3,25,2
13076147,1494,60,33,1353,10,12,0,2,0,3,21,5
13076148,4221,125,94,1393,2411,60,0,23,12,4,99,-
13076151,1817,90,38,1548,99,18,0,0,0,0,24,0
13076152,8008,548,313,5519,1497,35,0,0,1,13,83,100
13076153,10473,397,278,7330,2088,106,0,0,4,28,243,40
13076154,1228,141,45,984,34,5,0,0,1,4,13,20
13076155,1879,75,45,810,826,36,0,0,2,41,44,3
13076156,2351,112,144,1343,689,23,0,9,0,1,30,5
13076158,1163,54,33,710,335,1,0,0,0,13,17,0
13076159,9190,404,228,5838,1244,111,0,0,9,34,1324,48
13076160,3678,116,86,2495,891,42,0,0,0,1,47,1
13076161,1333,78,31,965,247,2,0,0,0,2,7,8
13076162,3891,134,78,3083,498,26,0,2,3,4,63,2
13076163,713,32,11,483,168,5,0,0,0,0,15,1
13076164,4670,164,78,3934,353,38,27,11,7,3,54,2
13076165,3319,118,70,2531,444,23,105,0,2,4,23,1
13076166,8794,338,187,5815,2174,87,118,0,20,4,50,14
13076167,2495,81,48,1777,216,36,0,0,5,35,298,1
13076168,9455,336,303,6038,2528,72,0,0,0,20,156,22
13076169,3166,124,74,2279,634,12,0,3,0,5,36,5
14000000,1844989,193902,81754,993778,494914,10227,2714,61,516,22766,44358,23255
14511000,22103,8011,2027,8173,3246,300,0,0,3,116,228,943
14521000,182793,15465,7621,72682,81605,483,1,37,75,2793,2031,1910
14521010,2327,194,108,1330,649,21,0,0,0,13,13,18
14521020,2815,607,221,1436,387,21,0,0,0,133,10,85
14521035,3643,1125,275,747,1313,22,0,0,0,102,58,161
14521040,828,126,35,455,195,2,0,0,0,11,3,5
14521060,547,105,46,277,62,7,0,0,0,47,3,14
14521080,1915,100,75,350,1357,1,0,0,0,18,12,4
14521090,1545,48,44,304,1143,0,0,0,0,4,2,0
14521110,6000,336,232,883,4423,16,0,0,0,74,36,17
14521120,2122,269,101,1349,367,4,0,0,0,18,14,29
14521130,3643,209,112,1307,1960,4,0,0,12,25,13,42
14521140,807,84,32,216,452,1,0,0,0,17,6,15
14521150,3286,271,127,2052,764,1,0,0,0,44,27,42
14521160,1589,174,77,466,778,1,0,0,1,82,10,27
14521170,11224,339,378,995,9102,9,0,5,0,68,330,27
14521180,4574,180,145,1942,2109,25,0,0,14,138,21,46
14521200,2110,147,72,952,912,0,0,0,0,22,6,17
14521210,1856,155,48,325,1276,5,0,0,0,19,28,19
14521220,1978,205,85,1362,292,14,0,0,0,10,10,26
14521230,419,79,28,252,47,1,0,0,0,8,4,9
