ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
03451002,10194,8099,1273,805,17,1661.6
03451004,7726,6448,969,304,5,1215.3
03451005,7928,6566,971,388,3,1212.7
03451007,7801,6532,773,485,11,1241.3
03451008,5610,4737,644,227,2,857.3
03452000,75857,65197,7206,3411,43,10334.4
03452001,15550,13083,1573,886,8,2229.1
03452002,236,149,41,44,2,33.4
03452003,1216,1087,100,29,0,152.2
03452006,5236,4625,490,117,4,730.9
03452007,3270,2852,338,78,2,435.4
03452008,2983,2546,313,124,0,374.7
03452009,213,185,19,9,0,27
03452010,399,355,30,14,0,50.7
03452011,2933,2732,153,44,4,378.7
03452012,4916,4510,339,62,5,661.7
03452013,481,255,87,137,2,91.3
03452014,5648,5096,384,165,3,703.5
03452015,719,637,68,14,0,93.8
03452016,295,258,27,10,0,39.9
03452017,919,757,122,40,0,123.6
03452019,10304,8445,1111,744,4,1419
03452020,1640,926,307,402,5,312.8
03452021,882,784,84,14,0,114.8
03452022,790,704,70,16,0,106.2
03452023,7287,6606,566,114,1,932.8
03452024,1443,1258,146,39,0,190.1
03452025,5235,4554,511,167,3,737.2
03452026,454,412,34,8,0,55.3
03452027,2808,2381,293,134,0,340.4
03453000,51410,41026,7753,2572,59,8837.7
03453001,4780,3999,627,152,2,705.1
03453002,2438,1924,402,110,2,428.5
03453003,2180,1801,325,53,1,383
03453004,9520,7127,1368,1008,17,1752.3
03453005,3557,2940,481,127,9,609.8
03453006,2654,2107,428,115,4,450.8
03453007,6961,5597,1097,263,4,1175.4
03453008,4046,3155,726,161,4,734.7
03453009,2289,1910,309,65,5,385.8
03453010,1544,1249,255,40,0,263.1
03453011,4364,3469,671,221,3,796.7
03453012,2488,2077,335,70,6,429.5
03453013,4589,3671,729,187,2,723
03454000,104970,86445,12876,5544,105,17643
03454001,275,230,40,5,0,47.4
03454002,796,674,98,24,0,136.8
03454003,536,453,80,3,0,90.5
03454004,375,344,29,2,0,52
03454005,958,808,117,33,0,158.7
03454006,274,230,43,1,0,47.1
03454007,467,416,45,5,1,76.3
03454008,1708,1376,230,98,4,291.9
03454009,399,351,44,4,0,69.2
03454010,3423,2831,486,98,8,559.1
03454011,1728,1431,234,62,1,280
03454012,1530,1239,211,77,3,265.4
03454013,370,332,33,4,1,57
03454014,3965,3412,458,92,3,633.3
03454015,405,347,44,14,0,71.5
03454016,231,203,24,4,0,41.6
03454017,257,241,15,1,0,42.6
03454018,7917,6705,916,285,11,1286.7
03454019,4566,3874,526,165,1,760.6
03454020,886,727,124,34,1,140.8
03454021,1558,1323,175,60,0,259.8
03454022,270,251,14,3,2,43.7
03454023,179,161,16,2,0,30.7
03454024,388,335,46,7,0,67
03454025,625,554,61,10,0,98.7
03454026,1618,1398,185,35,0,277.9
03454027,282,245,31,6,0,49
03454028,457,393,55,8,1,77.7
03454029,2114,1762,244,108,0,351.9
03454030,333,284,48,1,0,53.6
03454031,896,729,122,44,1,151.7
03454032,16323,12555,2153,1588,27,2891.5
03454033,981,831,116,34,0,170.2
03454034,740,651,77,12,0,112.4
03454035,11070,8980,1194,881,15,1950.5
03454036,327,267,52,8,0,58.7
03454037,536,453,73,10,0,87.3
03454038,281,244,35,2,0,47
03454039,458,394,57,5,2,74.9
03454040,377,333,38,6,0,58.4
03454041,12016,9710,1407,893,6,1932.7
03454042,344,305,34,5,0,57.7
03454043,214,183,27,4,0,35.5
03454044,1535,1314,182,38,1,256.9
03454045,2454,1941,419,89,5,410
03454046,677,542,104,30,1,116.9
03454047,2333,1875,306,149,3,395.9
03454048,492,425,55,12,0,84.8
03454049,2729,2193,391,145,0,477.9
03454050,370,324,44,2,0,61.6
03454051,1444,1205,190,48,1,239.4
03454052,439,382,52,5,0,73.9
03454053,538,439,77,22,0,91.6
03454054,3259,2825,363,68,3,499.3
03454055,601,532,55,13,1,103
03454056,640,588,42,10,0,93.8
03454057,3129,2512,456,159,2,547
03454058,370,332,31,7,0,62.7
03454059,176,159,17,0,0,28
03454060,331,292,35,4,0,53.2
03455000,38575,32230,3927,2398,20,5557.7
03455007,5328,4310,589,428,1,806.7
03455014,3071,2536,290,243,2,456.5
03455015,8014,6947,731,332,4,1150.1
03455020,4561,3875,449,235,2,616.1
03455021,617,342,117,156,2,110.9
03455025,3403,2885,356,161,1,485.1
03455026,9130,7507,969,648,6,1317.6
03455027,4451,3828,426,195,2,614.7
03456000,45540,38154,5090,2247,49,7206.4
03456001,5321,4459,530,327,5,863.2
03456002,2500,2116,302,79,3,385.4
03456003,134,118,16,0,0,23.5
03456004,188,158,28,2,0,30.3
03456005,423,360,61,1,1,64.1
03456006,182,157,24,0,1,28.4
03456007,185,139,44,1,1,29.9
03456008,202,163,36,2,1,35.2
03456009,969,819,131,19,0,157.5
03456010,183,149,30,4,0,32
03456011,569,488,74,6,1,89.3
03456012,684,585,90,7,2,111.1
03456013,369,322,42,3,2,54.9
03456014,3584,3019,430,134,1,546
03456015,17315,14416,1667,1214,18,2703.5
03456016,189,159,24,6,0,31.7
03456017,368,301,61,5,1,62.7
03456018,175,141,33,1,0,29
03456019,691,596,83,12,0,112
03456020,246,197,44,5,0,39.8
03456023,2086,1768,246,70,2,328.7
03456024,200,177,21,1,1,29.7
03456025,3904,3247,541,110,6,669.4
03456026,537,435,92,10,0,87.8
03456027,4336,3665,440,228,3,661.3
03457000,63291,54226,6223,2786,56,9057.6
03457002,2023,1315,363,339,6,353.4
03457003,310,274,30,5,1,44.2
03457006,1032,895,93,40,4,140.4
03457008,807,711,74,22,0,115.2
03457009,291,248,29,14,0,43.4
03457010,1741,1524,167,48,2,240.6
03457011,849,753,79,16,1,117.8
03457012,1641,1456,147,37,1,214.1
03457013,11264,9072,1121,1057,14,1747.2
03457014,9162,8064,837,250,11,1230.9
03457015,662,603,48,11,0,93.6
03457016,685,618,58,9,0,96.9
03457017,4330,3694,491,144,1,627.5
03457018,6860,5882,753,224,1,979.7
03457019,272,238,31,3,0,37.6
03457020,4253,3726,427,96,4,619.7
03457021,6152,5488,458,203,3,824.7
03457022,7815,6805,788,217,5,1118.3
03457024,3142,2860,229,51,2,412.4
03458000,43492,35567,5764,2128,33,6801
03458001,264,210,47,7,0,43.7
03458002,275,230,38,7,0,45.3
03458003,2200,1840,295,63,2,339.9
03458004,427,357,55,15,0,61.8
03458005,10787,8841,1452,487,7,1661
03458006,327,264,48,14,1,52.1
03458007,4554,3724,602,221,7,736.8
03458008,1558,1188,246,124,0,255.2
03458009,5032,4232,603,192,5,750.2
03458010,5608,4529,851,223,5,868.9
03458011,444,369,64,11,0,71
03458012,216,175,37,4,0,36
03458013,5681,4708,757,213,3,868.8
03458014,5923,4743,641,536,3,977.8
03458015,196,157,28,11,0,32.4
03459000,98287,65853,22995,9375,64,17975.8
03459001,1065,775,219,71,0,196
03459002,2134,1607,346,177,4,390.4
03459003,4305,2887,1005,413,0,798.8
03459004,2843,1757,695,385,6,573.5
03459005,2212,1393,529,288,2,437.1
03459006,1662,915,342,404,1,418.4
03459007,1394,1083,242,67,2,232.7
03459008,3499,2281,837,377,4,650.6
03459009,1177,937,203,36,1,204.5
03459010,2358,1804,359,194,1,420.3
03459011,998,822,145,31,0,167.3
03459012,4386,2929,1118,338,1,766
03459013,3661,2531,889,241,0,633.8
03459014,9127,6557,1890,680,0,1508.1
03459015,2305,1378,514,412,1,468.4
03459016,534,416,95,23,0,93
03459017,2837,2167,432,232,6,487.2
03459018,761,647,87,27,0,130.7
03459019,8153,4373,2535,1241,4,1599.5
03459020,3556,1988,1166,401,1,668.2
03459021,3160,2049,811,296,4,580
03459022,2726,1640,764,321,1,512
03459023,547,443,88,16,0,94.3
03459024,12631,8148,3273,1201,9,2330.7
03459025,812,672,116,24,0,134.4
03459026,1075,839,201,34,1,192.2
03459027,1245,910,266,67,2,225.8
03459028,874,678,159,37,0,152.7
03459029,2589,1699,690,197,3,477.3
03459030,3862,2994,508,356,4,639.8
03459031,1180,931,204,45,0,185.2
03459032,515,395,109,11,0,93.7
03459033,6370,4028,1728,608,6,1183.1
03459034,1734,1180,430,124,0,330.1
03460000,42669,33926,6297,2391,55,7565.1
03460001,2001,1651,296,54,0,350
03460002,4936,3738,862,332,4,921.8
03460003,4227,3524,539,163,1,702.1
03460004,3291,2684,490,114,3,542
03460005,2261,1813,350,94,4,390.4
03460006,8045,6394,1181,462,8,1445.5
03460007,2491,1884,471,130,6,449.2
03460008,2992,2409,450,130,3,516.4
03460009,9376,7382,1156,814,24,1709.4
03460010,3049,2447,502,98,2,538.3
03461000,31250,25450,3115,2659,26,4607.3
03461001,2476,2112,262,102,0,353.1
03461002,4784,3713,470,597,4,727.9
03461003,3481,2985,351,143,2,433.2
03461004,3034,2432,347,247,8,458.3
03461005,2322,2053,200,68,1,327.1
03461006,2333,1886,212,233,2,345.6
03461007,8008,6124,830,1046,8,1276.9
03461008,1999,1730,193,75,1,282.4
03461009,2813,2415,250,148,0,402.8
03462000,22782,18625,2776,1368,13,3189.4
03462001,722,617,88,17,0,97
03462002,425,356,60,9,0,57.1
03462003,2778,2103,376,298,1,421.7
03462004,325,278,40,7,0,42.3
03462005,3904,3373,439,90,2,544.2
03462006,745,618,107,20,0,98.6
03462007,768,428,154,184,2,134.8
03462008,324,277,38,9,0,44.1
03462009,284,250,27,7,0,37.8
03462010,589,408,98,83,0,80.3
03462011,446,375,61,10,0,57.6
03462012,401,348,43,10,0,53
03462013,246,208,34,4,0,34.7
03462014,297,188,50,56,3,44.4
03462015,677,560,95,21,1,89.3
03462016,256,224,23,9,0,36
03462017,366,258,67,41,0,50.9
03462018,988,823,120,44,1,136.3
03462019,8241,6933,856,449,3,1129.2
04000000,141168,94872,13733,32408,155,28654
04011000,119648,80648,12129,26731,140,23725.2
04012000,21520,14224,1604,5677,15,4928.8
05000000,3934504,2453890,656036,819977,4601,804224.4
05111000,71886,28852,7315,35511,208,26005.6
05112000,80281,38846,9893,31447,95,19119.6
05113000,88508,37913,11033,39424,138,23886.7
05114000,45818,28308,4978,12479,53,9907.3
05116000,57036,35404,7174,14414,44,11561.3
05117000,31499,15682,4920,10864,33,7654
05119000,38125,17533,6473,14084,35,8636.9
05120000,20592,10485,3667,6413,27,4832.1
05122000,32300,17202,5357,9695,46,6826.3
05124000,53923,24525,7359,21958,81,15062.1
05154000,94394,73251,12379,8680,84,15121.5
05154004,4244,3484,571,185,4,635.5
05154008,9063,7031,926,1097,9,1518.5
05154012,10040,7861,1257,919,3,1617.8
05154016,10971,8625,1308,1033,5,1723.9
05154020,3820,2944,604,271,1,598.1
05154024,4488,3600,632,253,3,671.7
05154028,4171,3317,583,267,4,645.6
05154032,8629,6789,1039,796,5,1342
05154036,13954,9943,1871,2111,29,2455
05154040,3693,3045,481,163,4,575.5
05154044,6355,4870,969,511,5,1001.7
05154048,2090,1581,367,140,2,317.3
05154052,4711,3829,563,318,1,744.6
05154056,2511,1958,402,149,2,383.7
05154060,2383,1826,367,190,0,380.3
05154064,3271,2548,439,277,7,510.3
05158000,98244,62627,13754,21807,56,21965.2
05158004,7838,5276,849,1712,1,2081.7
05158008,6951,4608,1020,1315,8,1459.6
05158012,5301,3232,912,1151,6,1168.2
05158016,9343,5235,1233,2871,4,2434.1
05158020,14028,9804,1800,2418,6,2648.3
05158024,8483,5725,1132,1619,7,1796.7
05158026,7642,5220,842,1571,9,1778.2
05158028,18698,12394,2340,3955,9,4219.7
05158032,15535,8445,2788,4299,3,3438.7
05158036,4425,2688,838,896,3,939.9
05162000,108897,77076,14373,17359,89,20751.7
05162004,14593,10136,1939,2510,8,2780.9
05162008,16628,12001,2303,2312,12,2898.7
05162012,7285,5669,1094,519,3,1114.6
05162016,10814,8096,1327,1379,12,2036.3
05162020,10207,7572,1572,1054,9,1740.4
05162022,14150,10043,1762,2336,9,2916.8
05162024,30919,20094,3816,6974,35,6607.4
05162028,4301,3465,560,275,1,656.5
05166000,85113,64495,10767,9791,60,14032.6
05166004,5138,4049,753,336,0,794.6
05166008,4741,3886,511,340,4,701.6
05166012,9511,7105,1171,1228,7,1641.7
05166016,11996,9189,1521,1283,3,1953
05166020,5684,4883,532,269,0,791.6
05166024,5917,4594,802,516,5,941.5
05166028,8003,6022,982,997,2,1386.4
05166032,19858,13790,2746,3302,20,3470.7
05166036,14265,10977,1749,1520,19,2351.6
05170000,115219,79037,18122,17996,64,20826.6
05170004,3900,2839,804,257,0,641.3
05170008,14681,8769,2259,3641,12,2926.8
05170012,7827,5844,1421,556,6,1334
05170016,3896,2743,820,331,2,678.2
05170020,9271,6659,1025,1569,18,1587.2
05170024,23693,15129,3984,4571,9,4462
05170028,7056,5141,796,1112,7,1267.7
05170032,8575,6182,1313,1079,1,1473.1
05170036,3599,2371,806,421,1,655.8
05170040,2447,1812,439,193,3,408.4
05170044,8764,5975,1447,1341,1,1607.6
05170048,14923,10540,1961,2419,3,2732.2
05170052,6587,5033,1047,506,1,1052.3
05314000,56144,31735,6514,17705,190,14084.4
05315000,139159,70294,12981,55612,272,42310.6
05316000,30378,18144,3769,8445,20,6873.8
05334000,121418,78303,17435,25455,225,24205.1
05334004,12222,8405,1968,1840,9,1969.2
05334008,7258,5238,1096,922,2,1173.2
05334012,13916,9432,2040,2437,7,2451.3
05334016,12282,8652,1704,1916,10,2083.5
05334020,4541,3720,632,185,4,680.6
05334024,2947,2396,371,176,4,483.9
05334028,5394,4147,846,396,5,884.3
05334032,14467,9410,2550,2493,14,2577.4
05334036,8864,5395,1665,1796,8,1666.1
05334002,39527,21508,4563,13294,162,10235.6
05358000,77352,60015,8907,8360,70,12750.7
05358004,3953,2946,512,493,2,640.6
05358008,20830,14435,2263,4101,31,3869.7
05358012,1670,1407,210,52,1,236.3
05358016,3223,2711,390,121,1,478.5
05358020,2234,1799,281,154,0,355.2
05358024,9126,6775,1173,1165,13,1628.5
05358028,5979,4856,706,414,3,934.3
05358032,4814,3848,654,308,4,735.5
05358036,4326,3468,514,339,5,674.1
05358040,3194,2591,339,263,1,504.6
05358044,3729,3154,411,163,1,572.7
05358048,4534,3765,501,264,4,680.1
05358052,3452,2866,348,236,2,533.8
05358056,2974,2539,297,138,0,426.5
05358060,3314,2855,308,149,2,480.2
05362000,121748,91487,14015,16118,128,21692.2
05362004,7358,5810,923,622,3,1151.2
05362008,15519,11692,1827,1976,24,2805.6
05362012,9916,6542,1262,2099,13,1954.9
05362016,6442,5043,744,648,7,1056.7
05362020,15622,12803,1644,1167,8,2511.1
05362024,12129,8611,1432,2071,15,2344.5
05362028,13390,8574,2136,2643,37,2620.8
05362032,16508,12819,1657,2025,7,2961.7
05362036,16365,13408,1472,1476,9,2655.3
05362040,8499,6185,918,1391,5,1630.4
05366000,63210,50232,7981,4940,57,9941.2
05366004,6479,5153,908,403,15,1001.9
05366008,3395,2865,402,128,0,472.3
05366012,1792,1536,205,51,0,262.2
05366016,15418,11335,1924,2147,12,2669.8
05366020,3348,2856,371,119,2,468.2
05366024,3931,3163,507,258,3,593.2
05366028,9183,7442,1203,532,6,1434.7
05366032,2915,2389,419,105,2,436.7
05366036,4467,3547,604,313,3,701.6
05366040,5411,4283,674,448,6,857.7
05366044,6871,5663,764,436,8,1042.9
05370000,85177,70119,9126,5878,54,12901.6
05370004,14755,11897,1668,1178,12,2323.4
05370008,4409,3693,524,190,2,672.4
05370012,8761,7137,915,702,7,1368.5
05370016,13639,11331,1352,951,5,2055
05370020,11996,9649,1378,952,17,1804.6
05370024,4192,3774,322,91,5,630.1
05370028,7208,5450,956,801,1,1098.7
05370032,3429,2964,360,105,0,494.4
05370036,6461,5479,660,318,4,939.9
05370040,10327,8745,991,590,1,1514.6
05374000,74389,48766,17058,8511,54,13014.8
05374004,4323,2700,1058,560,5,816.1
05374008,5995,4144,1307,541,3,983.4
05374012,13000,7986,3014,1982,18,2374.1
05374016,3801,2364,868,567,2,681.2
05374020,6138,4157,1422,557,2,1025.3
05374024,3797,2585,895,314,3,623.5
05374028,3343,2448,673,221,1,516.2
05374032,5248,3942,961,341,4,872
05374036,4719,2447,1127,1141,4,993.5
05374040,5885,4194,1312,378,1,928.9
05374044,5076,3510,1033,531,2,888.2
05374048,7570,5069,1846,651,4,1315.7
05374052,5494,3220,1542,727,5,996.8
05378000,74445,51125,12582,10681,57,14066.9
05378004,26214,17528,3878,4787,21,5453.8
05378008,4866,3343,774,747,2,876.5
05378012,6026,4162,1318,542,4,1033.2
05378016,7565,5493,1038,1031,3,1362.9
05378020,4829,3605,825,396,3,831
05378024,7785,5489,1482,810,4,1357.4
05378028,8070,5950,1188,922,10,1461.5
05378032,9090,5555,2079,1446,10,1690.6
05382000,168662,126668,22701,19161,132,29147.4
05382004,6641,4943,887,803,8,1136.7
05382008,7025,5140,896,978,11,1312
05382012,13006,9454,1859,1680,13,2282.9
05382016,5875,4352,987,531,5,944.8
05382020,13514,10419,1904,1185,6,2285.9
05382024,12511,9294,1962,1249,6,2170.8
05382028,9607,7535,1381,689,2,1557.9
05382032,7398,6291,576,527,4,1235.8
05382036,4857,3667,886,302,2,787
05382040,6750,5268,1048,428,6,1065.5
05382044,11063,8959,924,1174,6,1736.4
05382048,7602,5812,893,887,10,1312.3
05382052,3427,2647,588,190,2,533.4
05382056,14386,11117,1524,1727,18,2621.8
05382060,8844,5416,1294,2126,8,1819.8
05382064,5996,4878,726,388,4,933.5
05382068,16813,11081,2263,3453,16,3286.9
05382072,6364,4824,1020,520,0,1105.6
05382076,6983,5571,1083,324,5,1018.5
05512000,24110,11970,5337,6784,19,4947.1
05513000,38044,15374,4560,18056,54,10176.9
05515000,57446,34762,6919,15528,237,13965
05554000,104025,75711,19200,9013,101,17491.2
05554004,11258,8491,1926,832,9,1881.3
05554008,20213,14940,2986,2269,18,3406
05554012,11629,8171,2244,1199,15,2034.3
05554016,4245,2743,1153,344,5,741.8
05554020,13995,11102,1660,1224,9,2193.6
05554024,2551,1978,479,92,2,426.1
05554028,2196,1455,585,154,2,378.3
05554032,3221,2498,483,235,5,514.2
05554036,2058,1532,414,108,4,335
05554040,3015,1950,723,340,2,544.4
05554044,4080,2626,1056,392,6,723.8
05554048,5445,3796,1186,462,1,906.1
05554052,1757,1370,311,75,1,282.5
05554056,5668,4038,1224,400,6,981.2
05554060,2782,2017,587,175,3,470.2
05554064,3417,2369,759,283,6,603.2
05554068,6495,4635,1424,429,7,1069.2
05558000,61097,42995,12372,5688,42,10623.6
05558004,4165,2841,923,399,2,733.4
05558008,3503,2618,655,227,3,579.3
05558012,10163,7123,1980,1044,16,1781.2
05558016,12568,8585,2625,1354,4,2170.6
05558020,3474,2571,635,264,4,606.5
05558024,6157,4115,1256,785,1,1142.3
05558028,2915,2011,647,257,0,506.1
05558032,5673,4240,992,438,3,979.5
05558036,3695,2541,878,275,1,616.1
05558040,3157,2239,766,147,5,516.3
05558044,5627,4111,1015,498,3,992.5
05562000,137732,79846,24886,32873,127,27327.4
05562004,17620,10493,3059,4063,5,3182.2
05562008,7983,4717,1445,1808,13,1541.4
05562012,18615,11594,3720,3275,26,3533.1
05562014,14418,8016,2110,4276,16,3072.6
05562016,10389,6390,2521,1469,9,1891.3
05562020,13282,7433,2526,3312,11,2604.2
05562024,19269,12341,2802,4115,11,3703.3
05562028,6145,3355,1393,1392,5,1275.6
05562032,23036,11324,4009,7681,22,5153.6
05562036,6975,4183,1301,1482,9,1370.1
05566000,126565,91192,24544,10705,124,21564.1
05566004,2982,2206,509,267,0,531.4
05566008,10091,7115,2014,958,4,1770.1
05566012,9932,7050,1770,1101,11,1771.6
05566016,5990,4542,1143,296,9,973.2
05566020,2168,1697,400,68,3,355.7
05566024,1978,1439,428,109,2,329.6
05566028,14965,10786,2968,1201,10,2506.3
05566032,1955,1317,509,127,2,338.7
05566036,1974,1424,405,143,2,346.9
05566040,5612,3582,1315,710,5,1023.7
05566044,2495,1665,655,175,0,420
05566048,3643,2506,732,404,1,656.3
05566052,1858,1390,377,89,2,305.9
05566056,3398,2380,809,206,3,594.3
05566060,4091,3072,804,212,3,678.3
05566064,2761,1948,653,159,1,471.1
05566068,5837,4402,1079,352,4,970.9
05566072,3145,2258,745,141,1,527
05566076,21506,15653,3428,2381,44,3625.2
05566080,1947,1445,361,141,0,320.2
05566084,10136,7651,1561,914,10,1686.2
05566088,2687,1865,648,174,0,453
05566092,3018,1973,789,255,1,511.2
05566096,2396,1826,442,122,6,397.2
05570000,75136,51778,14529,8756,73,13250.2
05570004,13162,8487,2487,2178,10,2280.4
05570008,9658,6654,1734,1259,11,1717.6
05570012,1605,1075,377,153,0,285.2
05570016,4754,3428,951,372,3,801.8
05570020,5649,3976,1109,559,5,962.4
05570024,2881,2097,557,224,3,501.4
05570028,7630,4963,1559,1089,19,1456.4
05570032,2802,1956,554,290,2,508.9
05570036,3966,2841,817,308,0,669.6
05570040,3681,2647,651,383,0,635.6
05570044,5572,4015,997,551,9,1008.4
05570048,3556,2388,891,276,1,620.8
05570052,10220,7251,1845,1114,10,1801.7
05711000,62586,32901,11140,18355,190,14248.5
05754000,90673,57998,19288,13306,81,16956.7
05754004,2265,1404,574,285,2,417.2
05754008,23819,14708,4461,4621,29,4626.4
05754012,5391,3389,1198,800,4,984.8
05754016,6468,4519,1275,670,4,1149.9
05754020,4197,2717,1050,427,3,751.4
05754024,2406,1620,598,186,2,417
05754028,11563,7392,2311,1847,13,2175.3
05754032,7833,5291,1773,768,1,1430.2
05754036,7113,4666,1539,897,11,1298.9
05754040,5294,3395,1109,786,4,977.6
05754044,6435,4177,1454,802,2,1219.3
05754048,5141,3135,1260,741,5,972.1
05754052,2748,1585,686,476,1,536.7
05758000,66311,39067,18731,8474,39,12026.8
05758004,12253,7540,3262,1442,9,2221.2
05758008,5533,3320,1585,628,0,992
05758012,14627,7556,3849,3215,7,2970
05758016,5771,3270,1982,515,4,999.9
05758020,4822,3126,1369,325,2,799.6
05758024,11049,6772,3084,1186,7,1926.6
05758028,2760,1723,828,209,0,468.1
05758032,4076,2436,1230,405,5,719
05758036,5420,3324,1542,549,5,930.3
05762000,41677,28587,9155,3893,42,7252.5
05762004,4952,3174,1044,728,6,932
05762008,4076,2824,903,346,3,696.5
05762012,2836,2142,564,128,2,471.8
05762016,4622,3265,970,381,6,803.6
05762020,8452,5400,2037,1000,15,1514
05762024,1612,1188,364,60,0,265.5
05762028,2004,1457,424,123,0,328.8
05762032,3802,2647,843,311,1,631.7
05762036,6872,4728,1461,676,7,1212.1
05762040,2449,1762,545,140,2,396.5
05766000,92386,56504,22366,13397,119,16645.8
05766004,2238,1459,471,308,0,385.8
05766008,13378,7717,3016,2628,17,2573.8
05766012,2453,1539,617,293,4,425.6
05766016,4648,3049,1171,426,2,752.6
05766020,18681,11285,3938,3436,22,3546.4
05766024,2327,1381,726,218,2,391.7
05766028,3454,2007,1073,372,2,593.8
05766032,4593,2809,1081,698,5,825.8
05766036,4049,2421,1240,379,9,688
05766040,9144,5610,2345,1180,9,1589.9
05766044,10489,6517,2441,1506,25,1910.2
05766048,4522,2930,1119,466,7,764.4
05766052,2870,1798,779,293,0,484.9
05766056,4501,2885,964,643,9,845.6
05766060,2393,1384,717,290,2,421.2
05766064,2646,1713,668,261,4,446.1
05770000,83876,54779,19643,9406,48,15346.3
05770004,13051,8001,3109,1935,6,2418.1
05770008,5863,4045,1225,583,10,1085.3
05770012,4702,3188,1256,258,0,855.3
05770016,3689,2409,1020,260,0,643.3
05770020,6928,4604,1513,808,3,1286.5
05770024,20176,12666,4149,3346,15,3850.5
05770028,7799,5577,1763,456,3,1323
05770032,10465,6608,2967,886,4,1816.3
05770036,3410,2311,798,298,3,619.8
05770040,4162,2946,879,334,3,758.4
05770044,3631,2424,964,242,1,689.7
05774000,74373,47237,15635,11403,98,14516.4
05774004,2697,1839,665,193,0,455.7
05774008,3573,2061,640,865,7,764.8
05774012,3732,2386,984,358,4,674.2
05774016,6219,4224,1522,464,9,1090
05774020,8081,5390,2080,610,1,1483.2
05774024,4192,2722,992,476,2,778.7
05774028,3223,2290,791,141,1,529.8
05774032,31944,18941,5434,7504,65,6888.9
05774036,7099,4917,1664,510,8,1235.7
05774040,3613,2467,863,282,1,615.4
05911000,58057,24666,8962,24322,107,15256.6
05913000,96011,47040,12735,36071,165,24446.3
05914000,30021,13355,4810,11822,34,8065.7
05915000,38986,23932,6733,8281,40,7446.9
05916000,24315,10101,3661,10507,46,6313.9
05954000,64755,32653,13082,18964,56,14796.1
05954004,2490,1578,584,328,0,456.8
05954008,6665,3561,1489,1607,8,1427.4
05954012,6021,2950,1258,1806,7,1383.9
05954016,10165,5091,1757,3308,9,2395.7
05954020,5006,2696,1056,1250,4,1185.6
05954024,5036,2326,850,1854,6,1280.2
05954028,6163,3481,1475,1206,1,1208
05954032,5915,3208,1180,1521,6,1238.3
05954036,17294,7762,3433,6084,15,4220.2
05958000,72653,43897,19168,9527,61,13304.2
05958004,18357,10250,4524,3560,23,3578.4
05958008,2988,1679,958,348,3,529.8
05958012,7480,4849,1754,870,7,1336.1
05958016,2396,1399,766,230,1,449.7
05958020,1400,904,361,134,1,239.7
05958024,6020,4177,1357,481,5,1026
05958028,2575,1776,598,200,1,428.2
05958032,8240,4928,2274,1038,0,1474.5
05958036,4275,2651,1175,443,6,751.7
05958040,6811,3938,2103,765,5,1283.8
05958044,7728,4549,2304,870,5,1428.8
05958048,4383,2797,994,588,4,777.6
05962000,92742,49895,22398,20372,77,18692.4
05962004,4550,2349,1180,1019,2,838.1
05962008,3167,1843,984,338,2,562.7
05962012,3639,1960,933,741,5,743.7
05962016,8185,4627,1837,1714,7,1578.1
05962020,2058,1198,595,265,0,360.8
05962024,18323,9457,3861,4981,24,4043.9
05962028,3935,2242,1092,600,1,729.3
05962032,13327,6350,2589,4369,19,3135
05962036,4989,2891,1349,749,0,933.6
05962040,13399,7957,3169,2266,7,2433.2
05962044,1687,991,459,236,1,301.6
05962048,3067,1893,785,388,1,557.3
05962052,5945,2982,1720,1243,0,1168.6
05962056,2727,1438,781,503,5,544.2
05962060,3744,1717,1064,960,3,762.2
05966000,36480,21599,10844,4005,32,6664
05966004,6102,3592,1667,840,3,1145.2
05966008,3304,1995,1016,292,1,595.8
05966012,4656,2609,1602,442,3,837.8
05966016,3687,2420,999,267,1,651.8
05966020,6951,3907,2195,839,10,1262.7
05966024,6158,3439,1826,886,7,1197.5
05966028,5622,3637,1539,439,7,973.2
05970000,75290,46045,20498,8653,94,13345.6
05970004,5562,3508,1552,502,0,965.4
05970008,4303,2895,1128,273,7,713.4
05970012,2097,1287,629,179,2,360.4
05970016,5520,3662,1489,361,8,908.2
05970020,4381,2854,1159,368,0,740.7
05970024,8258,5275,2186,792,5,1433.3
05970028,4226,2857,1062,302,5,690.7
05970032,6869,4221,2055,588,5,1182.4
05970036,3783,2518,1014,238,13,663.5
05970040,23942,13068,6180,4655,39,4613.5
05970044,6349,3900,2044,395,10,1074.2
05974000,81648,54144,17027,10425,52,14688.7
05974004,3107,2253,657,196,1,533.5
05974008,3312,2277,561,473,1,618.2
05974012,3531,2352,928,249,2,610.8
05974016,4637,3190,1002,444,1,822.6
05974020,5710,4010,1177,523,0,995.4
05974024,3525,2524,785,216,0,608.5
05974028,16854,10589,3247,2999,19,3219.3
05974032,3684,2640,693,349,2,625.2
05974036,3251,2202,797,252,0,572.8
05974040,11936,7711,1953,2253,19,2260.3
05974044,7932,4937,2295,699,1,1317.6
05974048,3772,2819,719,234,0,606.4
05974052,7457,4881,1399,1173,4,1359
05974056,2940,1759,814,365,2,539.1
05978000,93592,57738,17180,18603,71,17687.3
05978004,11508,7499,1897,2101,11,2018.2
05978008,4933,3313,1089,526,5,758.3
05978012,5737,3763,1248,724,2,1023.9
05978016,4025,2436,825,763,1,783.3
