ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
01053049,179,138,33,8,0,27.7
01053050,282,213,61,8,0,39.5
01053051,105,90,12,3,0,15.1
01053052,47,28,9,10,0,8.3
01053053,174,130,28,16,0,28.4
01053054,173,145,20,8,0,23.1
01053056,83,71,9,3,0,12
01053057,100,89,9,2,0,12.6
01053058,57,43,11,3,0,8.3
01053059,67,54,9,4,0,10.8
01053060,211,173,25,13,0,31.3
01053061,408,341,50,17,0,59.6
01053062,109,86,14,9,0,15.5
01053064,237,204,25,8,0,33.3
01053066,92,78,12,2,0,12.3
01053067,229,206,19,4,0,31.6
01053068,206,165,26,15,0,34
01053069,268,217,34,17,0,40.2
01053070,98,85,10,3,0,16.2
01053071,215,171,34,10,0,32.1
01053072,463,379,74,10,0,69.5
01053073,121,106,13,2,0,17.1
01053074,57,45,8,4,0,9.1
01053075,635,528,87,20,0,88.9
01053076,506,435,49,22,0,77.6
01053077,133,103,17,13,0,20.2
01053078,76,64,7,5,0,12.4
01053079,305,241,51,13,0,47.3
01053080,49,37,7,5,0,8.3
01053081,168,143,20,5,0,22.3
01053082,90,70,10,10,0,13.7
01053083,3102,2344,356,402,0,488.7
01053084,161,136,19,6,0,23
01053085,433,354,62,17,0,65.4
01053086,98,74,18,6,0,16.1
01053087,227,168,51,8,0,34.6
01053088,46,40,5,1,0,6.2
01053089,179,142,23,14,0,26.5
01053090,5191,4035,463,691,2,830.4
01053091,61,47,9,5,0,9.8
01053092,417,344,62,11,0,58.2
01053093,273,224,38,10,1,37.6
01053094,71,58,11,2,0,10.1
01053095,233,190,34,9,0,34.3
01053096,380,329,37,14,0,51.7
01053097,282,253,19,10,0,33.8
01053098,182,148,23,11,0,29.2
01053099,119,97,20,2,0,16.8
01053100,3976,3175,251,547,3,652.3
01053101,104,87,14,3,0,15.1
01053102,21,18,1,2,0,3
01053103,272,230,26,16,0,42.2
01053104,202,170,20,12,0,30.6
01053106,144,122,16,6,0,21.1
01053107,295,249,38,8,0,40.3
01053108,584,492,70,22,0,87.7
01053109,237,209,21,7,0,34.4
01053110,216,186,22,8,0,29.6
01053111,335,295,30,10,0,44.8
01053112,473,389,59,25,0,74.1
01053113,178,130,35,13,0,27.4
01053114,67,58,8,1,0,9.5
01053115,165,141,19,5,0,23.5
01053116,3898,3086,258,550,4,674.6
01053117,270,220,31,19,0,35.6
01053118,208,153,41,14,0,33.8
01053119,84,68,11,5,0,13.2
01053120,109,79,22,8,0,16.7
01053121,120,97,18,5,0,16.7
01053122,211,179,25,7,0,31.8
01053123,350,283,52,15,0,47
01053124,135,113,17,5,0,20.4
01053125,195,169,20,6,0,27.4
01053126,126,104,15,7,0,18.3
01053127,72,64,6,2,0,10.7
01053128,65,54,9,2,0,9.6
01053129,2993,2269,224,500,0,630.6
01053130,248,200,35,13,0,36.8
01053131,69,55,10,4,0,10.5
01053132,291,235,42,14,0,42.5
01053133,849,697,88,63,1,150.1
01053134,124,108,12,3,1,17.9
01053135,55,37,16,2,0,8.7
01053136,384,326,51,7,0,53.8
01054000,67109,54123,7643,5306,37,9662
01054001,599,518,60,21,0,85.8
01054002,224,194,26,4,0,33.6
01054003,196,165,23,7,1,27.4
01054004,91,83,7,1,0,12
01054005,176,120,44,12,0,25.9
01054006,233,205,18,10,0,32.2
01054007,136,116,18,2,0,18.2
01054009,214,177,25,11,1,30.9
01054010,257,224,25,8,0,35.6
01054011,228,187,35,6,0,34.6
01054012,312,273,29,10,0,43.3
01054013,65,52,10,3,0,11.1
01054014,875,736,115,23,1,124
01054015,155,101,40,14,0,22.4
01054016,100,81,16,3,0,14.8
01054017,290,248,35,7,0,42.4
01054018,81,73,6,2,0,11.5
01054019,1987,1663,164,158,2,271.1
01054020,932,811,85,36,0,130.4
01054022,557,505,38,14,0,68.3
01054023,250,214,26,8,2,37.8
01054024,521,470,40,11,0,66.9
01054025,44,29,12,3,0,6.3
01054026,17,15,2,0,0,2.3
01054027,40,36,3,1,0,5.3
01054032,52,46,6,0,0,6.8
01054033,1010,827,92,91,0,132.8
01054034,65,57,7,1,0,9.8
01054035,147,116,19,12,0,22.6
01054036,1046,827,128,90,1,138.6
01054037,124,98,20,6,0,18.4
01054038,159,134,22,3,0,21.5
01054039,5,4,0,1,0,0.8
01054040,12,9,3,0,0,1.8
01054041,345,286,45,14,0,51
01054042,1002,823,129,49,1,143.5
01054043,100,78,18,4,0,14.9
01054045,159,129,28,2,0,23.1
01054046,497,361,65,71,0,71.8
01054048,36,33,1,2,0,5
01054050,52,39,10,3,0,6
01054052,282,239,31,12,0,41.8
01054054,90,77,12,1,0,12
01054055,333,299,24,9,1,44.9
01054056,7148,5483,640,1020,5,1152.3
01054057,249,213,26,10,0,34.7
01054059,302,253,43,6,0,42.2
01054061,686,558,82,46,0,124.5
01054062,78,66,8,4,0,12.7
01054063,81,71,7,3,0,11
01054065,416,342,51,23,0,56.3
01054068,394,326,46,22,0,56.7
01054070,362,327,29,6,0,47.9
01054071,24,20,4,0,0,3.2
01054072,80,72,5,3,0,12.1
01054073,528,443,54,30,1,80.1
01054074,76,69,6,1,0,8
01054075,1370,1180,143,47,0,181.2
01054076,2654,2151,225,276,2,383.7
01054077,20,15,4,1,0,3.3
01054078,797,610,75,112,0,132.3
01054079,235,186,42,7,0,34.7
01054080,128,108,15,5,0,17.3
01054083,190,136,41,13,0,26.9
01054084,1460,1264,140,55,1,196.7
01054085,471,352,71,48,0,61.2
01054086,461,391,49,21,0,61.2
01054087,566,456,88,22,0,72.3
01054088,3286,2606,313,361,6,521.3
01054089,209,145,37,27,0,26.7
01054090,18,11,4,3,0,3.2
01054091,1173,1013,115,45,0,140.2
01054092,152,129,22,1,0,22.5
01054093,165,145,16,4,0,20
01054094,216,147,48,21,0,31.6
01054095,566,493,52,21,0,76.1
01054096,275,234,33,8,0,35.8
01054097,160,136,23,1,0,21.8
01054098,281,209,62,10,0,39.9
01054099,633,544,68,21,0,90.6
01054100,119,108,8,3,0,15.7
01054101,256,214,27,14,1,37
01054103,661,552,82,27,0,82.9
01054104,108,93,12,3,0,15.8
01054105,198,174,19,5,0,24.7
01054106,729,620,78,31,0,101.7
01054108,115,99,14,2,0,20.9
01054109,1533,1280,188,65,0,215.2
01054110,181,154,19,8,0,28.2
01054113,2424,1811,371,240,2,358.7
01054116,535,446,58,31,0,73.5
01054118,370,316,48,6,0,50.9
01054119,237,194,37,6,0,34.4
01054120,378,321,40,17,0,47.6
01054121,102,88,11,3,0,13.8
01054123,119,102,14,3,0,17.1
