ags,ars,municipality,port,inland_goods_transfer_t,inland_eev_diesel_mwh,inland_ghg_tco2e,overseas_goods_transfer_t,overseas_eev_fuel_mwh,overseas_ghg_tco2e,sum_ghg_tco2e
03157002,31570002002,Hohenhameln,Hohenhameln,950318.0,11747.198487289385,3130.595504706856,0.0,0.0,0.0,3130.595504706856
03157006,31570006006,Peine,Peine,590846.0,7303.644924563128,1946.4009221902847,0.0,0.0,0.0,1946.4009221902847
03157008,31570008008,Wendeburg,Wendeburg,6143.0,75.93567659185524,20.236645191834963,0.0,0.0,0.0,20.236645191834963
03157000,031570000000,Peine Landkreis,Peine Landkreis,1547307.0,19126.779088444368,5097.233072088976,0.0,0.0,0.0,5097.233072088976
03159017,31590017017,Hann. Münden,Hann. Münden,750.0,9.27100072340736,2.470695733986036,0.0,0.0,0.0,2.470695733986036
03159000,031590000000,Göttingen Landkreis,Göttingen Landkreis,750.0,9.27100072340736,2.470695733986036,0.0,0.0,0.0,2.470695733986036
03241001,32410001001,Hannover,Hannover,1035508.0,12800.26055612548,3411.2335974778834,0.0,0.0,0.0,3411.2335974778834
03241015,32410015015,Seelze,Seelze,226334.0,2797.790236975576,745.6032643413273,0.0,0.0,0.0,745.6032643413273
03241016,32410016016,Sehnde,Sehnde,133749.0,1653.3161010066815,440.60411163319776,0.0,0.0,0.0,440.60411163319776
03241021,32410021021,Wunstorf,Wunstorf,441952.0,5463.116415615107,1455.9052280354622,0.0,0.0,0.0,1455.9052280354622
03241000,032410000000,Region Hannover Landkreis,Region Hannover Landkreis,1837543.0,22714.483309722844,6053.346201487871,0.0,0.0,0.0,6053.346201487871
03251047,32510047047,Weyhe,Weyhe,2420.0,29.914429000861087,7.972111568328277,0.0,0.0,0.0,7.972111568328277
03251000,032510000000,Diepholz Landkreis,Diepholz Landkreis,2420.0,29.914429000861087,7.972111568328277,0.0,0.0,0.0,7.972111568328277
03254003,32540003003,Algermissen,Algermissen,76285.0,942.9843869135076,251.3026987561664,0.0,0.0,0.0,251.3026987561664
03254021,32540021021,Hildesheim,Hildesheim,412804.0,5102.808243500604,1359.884109029829,0.0,0.0,0.0,1359.884109029829
